date;ipsrc;ipdst;proto;portdst;ruleid;action;interin;interout
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 18:22:02;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:03;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:04;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:05;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:06;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:07;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:08;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:09;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:10;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:11;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:12;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:13;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:14;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:15;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:16;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:17;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:18;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:19;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:20;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:22;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:22;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:23;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:25;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:25;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:26;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:27;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:28;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:29;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:31;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
